
2025/10/26 (10:37:36) | ===> btop++ v.1.4.5
2025/10/26 (10:37:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/26 (10:45:04) | ===> btop++ v.1.4.5
2025/10/26 (10:45:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/26 (11:32:18) | ===> btop++ v.1.4.5
2025/10/26 (11:32:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/26 (11:36:17) | ===> btop++ v.1.4.5
2025/10/26 (11:36:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/26 (14:07:04) | ===> btop++ v.1.4.5
2025/10/26 (14:07:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/26 (16:23:17) | ===> btop++ v.1.4.5
2025/10/26 (16:23:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/26 (16:59:49) | ===> btop++ v.1.4.5
2025/10/26 (16:59:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/26 (17:00:17) | ===> btop++ v.1.4.5
2025/10/26 (17:00:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
